file,BL_P,BL_N,BL_NET,BL_SENTIMENT,M_P,M_N,M_NET,M_SENTIMENT,M_UNCERTAINTY,M_LITIGIOUS,M_CONSTRAINING,M_SUPERFLUOUS,M_INTERESTING,M_MODAL
"1-22nd Century Group, Inc..txt",81,70,11,POSITIVE,26,48,-22,NEGATIVE,12,19,14,0,1,11
"1001-Matson, Inc..txt",185,144,41,POSITIVE,64,79,-15,NEGATIVE,34,36,32,0,7,23
1002-Mead Johnson Nutrition Co.txt,318,235,83,POSITIVE,133,129,4,POSITIVE,59,61,48,0,10,42
"1007-Mondelez International, Inc..txt",429,336,93,POSITIVE,175,204,-29,NEGATIVE,85,79,74,0,16,57
"1008-Motorola Solutions, Inc..txt",540,442,98,POSITIVE,216,277,-61,NEGATIVE,111,102,93,0,25,66
1009-Murphy USA Inc..txt,640,530,110,POSITIVE,246,336,-90,NEGATIVE,130,128,114,0,27,78
101-APPLIED MATERIALS INC  DE.txt,773,642,131,POSITIVE,303,413,-110,NEGATIVE,163,154,143,0,33,98
1010-NACCO INDUSTRIES INC.txt,881,743,138,POSITIVE,344,468,-124,NEGATIVE,187,183,174,0,40,119
1011-NANOMETRICS INC.txt,968,820,148,POSITIVE,376,519,-143,NEGATIVE,205,199,192,0,43,131
1014-NATIONAL BANKSHARES INC.txt,1029,878,151,POSITIVE,401,552,-151,NEGATIVE,216,208,202,0,47,137
1017-NATIONAL PENN BANCSHARES INC.txt,1127,961,166,POSITIVE,433,601,-168,NEGATIVE,231,226,222,0,52,150
"1018-NATIONAL RETAIL PROPERTIES, INC..txt",1201,1019,182,POSITIVE,461,630,-169,NEGATIVE,247,238,235,0,56,159
102-APTARGROUP INC.txt,1297,1103,194,POSITIVE,495,666,-171,NEGATIVE,264,252,252,0,63,172
1020-NATURES SUNSHINE PRODUCTS INC.txt,1393,1190,203,POSITIVE,538,732,-194,NEGATIVE,286,274,268,0,68,185
"1021-NAUTILUS, INC..txt",1465,1270,195,POSITIVE,563,775,-212,NEGATIVE,300,292,286,0,71,194
1025-NEW YORK MORTGAGE TRUST INC.txt,1576,1349,227,POSITIVE,596,815,-219,NEGATIVE,316,313,300,0,76,207
1027-NEWFIELD EXPLORATION CO  DE.txt,1691,1441,250,POSITIVE,643,868,-225,NEGATIVE,345,336,318,0,80,223
1029-NEWMARKET CORP.txt,1784,1510,274,POSITIVE,680,899,-219,NEGATIVE,354,350,333,0,85,232
1035-NOBLE ENERGY INC.txt,1889,1626,263,POSITIVE,716,962,-246,NEGATIVE,376,383,353,1,91,245
1036-NOODLES _ Co.txt,1889,1626,263,POSITIVE,716,962,-246,NEGATIVE,376,383,353,1,91,245
"104-AQUINOX PHARMACEUTICALS, INC.txt",1903,1649,254,POSITIVE,726,975,-249,NEGATIVE,376,383,355,1,91,246
1042-NORTHEAST UTILITIES.txt,2030,1736,294,POSITIVE,778,1029,-251,NEGATIVE,398,403,379,1,96,262
1048-NORWOOD FINANCIAL CORP.txt,2094,1787,307,POSITIVE,793,1054,-261,NEGATIVE,409,412,389,1,99,272
"1051-NRG Yield, Inc..txt",2094,1787,307,POSITIVE,793,1054,-261,NEGATIVE,409,412,389,1,99,272
1052-NUCOR CORP.txt,2169,1867,302,POSITIVE,828,1096,-268,NEGATIVE,429,427,404,1,105,285
107-ARCBEST CORP  DE.txt,2276,1972,304,POSITIVE,868,1152,-284,NEGATIVE,450,454,427,1,113,299
1073-NVR INC.txt,2371,2064,307,POSITIVE,901,1211,-310,NEGATIVE,468,470,449,1,115,314
"1075-National CineMedia, Inc..txt",2439,2127,312,POSITIVE,924,1244,-320,NEGATIVE,482,483,458,1,119,321
1082-Noble Corp plc.txt,2557,2224,333,POSITIVE,978,1314,-336,NEGATIVE,501,512,488,1,126,337
110-ARCHER DANIELS MIDLAND CO.txt,2688,2328,360,POSITIVE,1037,1375,-338,NEGATIVE,523,542,511,2,134,350
"1111-Nuverra Environmental Solutions, Inc..txt",2803,2431,372,POSITIVE,1078,1447,-369,NEGATIVE,552,576,530,2,137,370
1112-O REILLY AUTOMOTIVE INC.txt,2893,2509,384,POSITIVE,1111,1494,-383,NEGATIVE,568,592,550,3,140,382
1114-OCEANFIRST FINANCIAL CORP.txt,3004,2603,401,POSITIVE,1150,1542,-392,NEGATIVE,589,618,567,3,144,393
1115-OFG BANCORP.txt,3080,2660,420,POSITIVE,1176,1570,-394,NEGATIVE,603,641,582,3,149,404
1116-OGE ENERGY CORP..txt,3170,2738,432,POSITIVE,1209,1618,-409,NEGATIVE,625,664,597,3,153,419
1117-OLD NATIONAL BANCORP IN.txt,3285,2849,436,POSITIVE,1263,1684,-421,NEGATIVE,654,687,616,3,165,437
